"Gene.symbol","logFC","P.Value","adj.P.Val"
"Cyp2b10",-4.34,3.62e-11,8.21e-07
"Cyp7a1",-2.52,5.47e-10,3.03e-06
"Cd36",-2.2,8.21e-10,3.03e-06
"Lgals1",-2.42,9.36e-10,3.03e-06
"Thrsp",-2.5,3.06e-09,8.69e-06
"Aldh1a7",-1.13,2.2e-08,5e-05
"Pklr",-0.689,4.98e-08,0.000103
"Cidec",-1.08,5.59e-08,0.000106
"Prnp",-0.934,7.76e-08,0.000135
"Slco1a4",-1.54,1.43e-07,0.000202
"Oat",-0.684,1.54e-07,0.000206
"Dhrs7",-0.592,1.89e-07,0.000238
"Arpp19",-0.728,2.17e-07,0.000259
"G3bp2",-0.717,2.52e-07,0.000285
"Srsf7",-0.873,2.82e-07,0.000305
"Slc2a2",-0.729,3.15e-07,0.000319
"Inhbe",-0.813,3.37e-07,0.000319
"Treh",-0.904,3.43e-07,0.000319
"Slc13a3",-0.713,3.54e-07,0.000319
"Csrp3",-1.09,3.82e-07,0.000319
"Gstm2",-1.49,3.93e-07,0.000319
"Lhpp",-1.11,3.94e-07,0.000319
"Tmem176a",-0.853,4.52e-07,0.000354
"Apoa4",-1.49,4.9e-07,0.000365
"Upp2",-0.958,4.99e-07,0.000365
"Anxa5",-1.59,5.55e-07,0.000393
"Sult1e1",-2.68,7.39e-07,0.000479
"Pigp",-0.704,8.05e-07,0.000507
"Rhbg",-1.09,8.62e-07,0.000529
"Tgfbr2",-1.12,9.03e-07,0.000539
"Mt1",-1.94,1.12e-06,0.000633
"Gm12854///S100a11-ps///S100a11",-1.02,1.24e-06,0.000687
"Wdfy2",0.554,1.28e-06,0.000689
"Naa20",-0.57,1.5e-06,0.000765
"Hexb",-1.19,1.51e-06,0.000765
"S100a10",-1.14,1.52e-06,0.000765
"Aqp8",-1.07,1.56e-06,0.000767
"Gal3st1",-0.554,1.59e-06,0.000767
"Tkfc",-0.749,1.71e-06,0.000797
"Gpcpd1",-1.1,1.72e-06,0.000797
"2010003K11Rik",-0.718,1.77e-06,0.000805
"Tceal8",-1,1.84e-06,0.000807
"Gstm3",-2.21,1.89e-06,0.000807
"Spast",0.652,1.92e-06,0.000807
"Lad1",-0.877,2.06e-06,0.00083
"Nr0b2",1.11,2.07e-06,0.00083
"Ing2",0.504,2.18e-06,0.00083
"Adam10",-0.534,2.19e-06,0.00083
"Entpd5",-0.74,2.2e-06,0.00083
"Cryl1",0.602,2.38e-06,0.000884
"Fitm1",-0.819,2.48e-06,0.000885
"Eif4e3",-0.646,2.5e-06,0.000885
"Cldn2",-0.796,2.68e-06,0.000935
"Fabp4",-1.35,2.85e-06,0.000978
"Myo5b",-0.538,2.92e-06,0.00099
"Gm3776///Gsta2///Gsta1",-0.838,3.11e-06,0.00103
"Tmx2",-0.583,3.12e-06,0.00103
"Elovl6",-0.841,3.19e-06,0.00103
"Papss2",-0.891,3.23e-06,0.00103
"Gpx7",-0.58,3.44e-06,0.00108
"Sbk1",-1.28,3.57e-06,0.00108
"Pparg",-0.553,3.58e-06,0.00108
"Cyp8b1",-1.12,3.93e-06,0.00116
"Ppif",-0.654,3.95e-06,0.00116
"Raet1e///Raet1d///Raet1c///Raet1b///Raet1a",-0.652,4.17e-06,0.00121
"Slc41a3",-0.446,4.28e-06,0.00123
"Sdc1",-0.692,4.43e-06,0.00126
"Orm3",-1.18,4.54e-06,0.00127
"Dclre1a",-1.26,4.63e-06,0.00128
"Rora",0.548,4.75e-06,0.00129
